	22RV1_PROSTATE	2313287_STOMACH	253J_URINARY_TRACT	253JBV_URINARY_TRACT	42MGBA_CENTRAL_NERVOUS_SYSTEM	5637_URINARY_TRACT	639V_URINARY_TRACT	647V_URINARY_TRACT
ML162	0.86465456837333	1.242447522177768	0.628941069306098	0.628941069306098	-0.0	0.02756526064091092	2.9849407115041324	0.09325437998999941
ML210	0.7093036105682109	2.313802306518195	0.5363857380485324	5.032825605490017	0.00016859902641672494	-0.0	2.9787434224066227	1.186290289133943
erastin	-0.07640307854691453	-0.030842754069028398	-0.5328933474581389	-0.32240424596810036	0.0	-1.415973270646863	-0.003942335560763082	-1.207385653454134
1S,3R-RSL-3	0.704500332737516	1.1347844096551296	0.148901448288115	3.719990082794834	-0.0	0.1872648682178693	2.80508985370403	0.26459205079530124
PLX-4720	0.16448140894705798	0.4254725853686052	0.35632042054897445	0.40883916697592804	0.27787754655164176	-0.0	1.0944884628631442	1.0333107924395295
RITA	0.05084110918158903	1.5173067479702886	0.5426209541776543	0.8927541411440848	0.7285767229305008	0.03026578104443464	1.7641425881675663	-0.0
ouabain	-0.4692925399123534	-0.2429654254904365	-1.4837517729522347	-1.9879112626763118	-0.02214204410147753	-0.5337941658754766	0.0	-1.3585577938134998
