Feature	Negative Context Summary	Positive Context Summary
ML162	-0.013095878407469272	5.455533877916583
ML210	-19.221688248996863	6.008453322118322e-08
erastin	-95.26510637844216	0.0
1S,3R-RSL-3	0.0	5.020133653467069
PLX-4720	-0.15154002051766907	0.07707151546896836
RITA	-452.06432610772094	0.0
ouabain	0.0	125.1202427653651
