	CL0	CL1	CL2	CL3	CL4	CL5	CL6	CL7	CL8	CL9	CL10	CL11	CL12	CL13	CL14	CL15
C0	0.026014990779788767	0.06909048935623982			0.0	0.0	0.9217115575209931	0.0	0.0	0.0	0.0	0.0	0.0023534838481491746	0.017002408323638384	0.0	0.0
C1	0.006326158260385202	0.16985415723303082	0.002834080546763605	1.0	0.0	-0.0	0.319215234269304	0.03222748248953893	2.4769376145520885e-09	0.0	0.0	0.0	0.00020139973922953043	0.015764772560008695	3.869439866586517e-06	0.0
C2	0.9988086578166404	0.9377757287371241	0.9481253113290783		0.9753653545313757	0.12793358145164355	0.9006676269115729	0.878874581855399	0.8099456335599071	0.939414565444471	0.0	0.06513822380348107	0.9884632567213621	1.0	0.007360500127103333	0.486425345667732
C3	0.0027468471643928207	0.016329940918581885	0.0	0.8926121223749323	-0.0	0.0	0.3931914258488983	1.0048284073107437e-06	0.0	-0.0	-0.0	-0.0	5.581462826107423e-09	0.0020956976307623253	0.0	-0.0
C4	0.7681681075938266	0.8630257777226862	0.8654472554884308		0.7933825501821452	0.5366806323155704	0.9908972683821312	0.9990824933116643	0.9074729541777509	0.8554802300695961	0.028529450956480334	0.0	0.9161303332251504	0.5155658080981342	0.9967348279135266	0.10752258561985212
C5	0.9638354435352515	1.0		0.889991629685991	1.0	0.7093559693781081	1.0	0.9895644321712926	0.47534176458445326	0.7361122850075744	1.0	1.0	0.4720752584944852	0.9912490063386703	-0.0	0.8325217065169107
C6	0.0	0.0	-0.0	-0.0	0.000628098628685859	-0.0	0.0	-0.0	0.052459775264369235	0.0005434695786214729	-0.0	9.214486695058728e-05	0.0	-0.0	0.0	-0.0
