	N	Location	Scale	Degree of Freedom	Shape
C0	620.0	-1.9339709309546673	1.2099211795068707	3855862.0637346692	0.6675578301862617
C1	608.0	0.6800706026891823	2.162765681238287	4243791.208579246	-3.5274173718390642
C2	626.0	0.8298850790508514	1.2750536771271457	59.93058830617571	-3.739634350637659
C3	629.0	-2.5856828900280138	1.412440584520517	4201168.926721163	0.7102979818968596
C4	619.0	0.6188587728149164	0.230402981788506	1.7676724591909012	-0.0056428537430606275
C5	611.0	0.8715211340937479	0.8037528830214986	2.4774044443654715	-2.866545464211142
C6	626.0	-4.02639036495686	1.3865529470220785	8.000078525024144	2.452289998327315
